Commune;Cercle;Secteur;Lieu-dit;Date attaque;Num semaine;Animaux concernés;Victimes constatées;Taille troupeau ou lot;Conclusion expertise_ DDT;Decision indemnisation;Protocole;Num AP tir
SAINT-PIERRE-D’ENTREMONT;1;Chartreuse;Le Petit Chenevit;27/10/2023;43;Ovin;22;252;Loup typé;Oui;O;38-2023-11-06-00004
SAINT-PIERRE-DE-CHARTREUSE;1;Chartreuse;Chenevet;05/11/2023;44;Ovin;2;;Loup typé;Oui;O;38-2023-11-06-00004
LE SAPPEY-EN-CHARTREUSE;1;Chartreuse;;14/11/2023;46;Ovin;1;;Indéterminé;Non indemnisable;N;/
CHALON;2;Collines Viennoises;;16/04/2023;17;Veau;1;39;Loup non exclu;Oui;N;
CHALON;2;Collines Viennoises;Ranch le Bazadais;24/04/2023;17;Veau naissant;1;5;Indéterminé;Oui;O;38-2021-11-24-00012
SAINT-JEAN-DE-VAULX;1;Connex;les Pras;02/04/2023;22;Ovin;6;580;Loup typé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
SAINT-JEAN-DE-VAULX;1;Connex;les Pras;11/07/2023;28;Ovin;1;500;Indéterminé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
SAINT-JEAN-DE-VAULX;1;Connex;les Pras;29/07/2023;30;Veau;2;45;Loup typé;Oui;O;38-2023-08-11-00013
NOTRE-DAME-DE-VAULX;1;Connex;Les Grands Prés;06/08/2023;31;Veau naissant;1;13;Loup typé;Oui;O;38-2023-08-11-00012
BESSE;1;Emparis;Col Nazié;24/07/2023;30;Ovin;9;2000;Loup typé;Oui;N;/
BESSE;1;Emparis;Pré Armand;12/08/2023;32;Bovin;2;21;Indéterminé;Oui;O;38-2019-12-10-010
BESSE;1;Emparis;la Quarlie;12/09/2023;37;Bovin;1;80;Indéterminé;Non - loup exclu;O;38-2022-01-18-00003
BESSE;1;Emparis;L'Envers de la Pisse;29/09/2023;39;Bovin;3;150;Indéterminé;Oui;O;38-2022-01-18-00000
LAVALDENS;1;Grand Armet;Les Granges;20/06/2023;25;Ovin;2;1162;Loup non exclu;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;Les Granges;25/06/2023;25;Canin;1;1161;Loup non exclu;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;;26/06/2023;26;Ovin;1;913;Indéterminé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;;27/06/2023;26;Ovin;2;913;Loup typé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;le Pay;30/06/2023;26;Ovin;1;913;Loup typé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;le Sappey;04/07/2023;27;Ovin;1;1167;Indéterminé;Oui;O;38-2021-08-26-00001
ORIS-EN-RATTIER;1;Grand Armet;Jas;09/07/2023;27;Ovin;1;1224;Indéterminé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
LAVALDENS;1;Grand Armet;le Pay;22/07/2023;29;Ovin;1;812;Loup non exclu;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;le Sappey;25/07/2023;30;Ovin;1;1160;Loup typé;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;le Sappey;26/07/2023;30;Ovin;1;1159;Loup non exclu;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;le Sappey;28/07/2023;30;Ovin;1;1143;Loup non exclu;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;Colon;01/08/2023;31;Ovin;2;1010;Loup typé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;Près du Clos;04/08/2023;31;Ovin;2;1070;Loup typé;Oui;O;38-2021-08-26-00001
ORIS-EN-RATTIER;1;Grand Armet;Alpage du Jas;04/08/2023;31;Ovin;1;1414;Loup typé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
LAVALDENS;1;Grand Armet;Plan Col;06/08/2023;31;Ovin;2;812;Loup typé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
LAVALDENS;1;Grand Armet;Plan Col;11/08/2023;32;Ovin;2;2;Loup typé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
LAVALDENS;1;Grand Armet;;16/08/2023;33;Ovin;1;1005;Loup typé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
LAVALDENS;1;Grand Armet;le Sappey;28/08/2023;35;Ovin;1;918;Loup non exclu;Oui;O;38-2021-08-26-00001
LAVALDENS;1;Grand Armet;;18/09/2023;38;Ovin;2;810;Loup typé;Oui;O;"38-2019-07-15-025; TDR 38-2023-06-28-00004"
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Col de Sarennes;22/06/2023;25;Ovin;1;520;Loup non exclu;Oui;N;/
VAUJANY;1;Grandes Rousses;Col du Glandon;09/07/2023;27;Ovin;1;1607;Loup typé;Oui;O;38-2021-07-06-00008
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Le Clos Chevalret;24/07/2023;30;Ovin;1;1300;Loup typé;Oui;O;38-2021-06-08-00038
VAUJANY;1;Grandes Rousses;Col du Couard;26/07/2023;30;Ovin;1;1705;Loup typé;Oui;O;38-2021-07-06-00008
VAUJANY;1;Grandes Rousses;Cochette;27/07/2023;30;Ovin;1;1;Loup typé;Oui;O;38-2021-07-06-00008
HUEZ;1;Grandes Rousses;Alpes d'Huez;04/08/2023;31;Ovin;3;2166;Loup typé;Oui;N;/
VAUJANY;1;Grandes Rousses;Mont Frais;05/08/2023;31;Ovin;1;75;Loup non exclu;Oui;N;
HUEZ;1;Grandes Rousses;Mine de l'Herpie;06/08/2023;31;Ovin;3;3;Loup non exclu;;N;/
HUEZ;1;Grandes Rousses;Alpes d'Huez;08/08/2023;32;Caprin;1;1;Indéterminé;Non - loup exclu;N;/
VAUJANY;1;Grandes Rousses;Col du Couard;08/08/2023;32;Ovin;1;1706;Loup typé;Oui;O;38-2021-07-06-00008
BESSE;1;Grandes Rousses;Saint Sébastien;11/08/2023;32;Ovin;5;5;Loup typé;Oui;O;38-2021-07-06-00007
VAUJANY;1;Grandes Rousses;Col du Couard;25/08/2023;34;Ovin;2;1707;Loup typé;Oui;O;38-2021-07-06-00008
CLAVANS-EN-HAUT-OISANS;1;Grandes Rousses;Les Boliords;27/08/2023;34;Ovin;1;1;Loup typé;Oui;O;38-2022-03-01-00018
LE FRENEY-D'OISANS;1;Grandes Rousses;Ruisseau Nou;18/09/2023;38;Ovin;2;1300;Loup typé;Oui;N;/
OZ;1;Grandes Rousses;;28/09/2023;39;;1;1250;Indéterminé;Oui;N;/
AURIS;1;Grandes Rousses;La Garde;03/10/2023;40;Ovin;18;2000;Loup typé;Oui;O;38-2021-07-06-00007
VAUJANY;1;Grandes Rousses;;08/10/2023;40;Ovin;1;1068;Loup non exclu;Oui;O;38-2021-07-06-00008
VAUJANY;1;Grandes Rousses;Villette;15/10/2023;41;Bovin;1;14;Indéterminé;Non indemnisable;N;
GIÈRES;3;Haut Grésivaudan;Rue de la Fontaine;19/02/2023;7;Ovin;3;6;Loup non exclu;Oui;;
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Ruisseau de l’Aiguille;25/06/2023;25;Bovin;1;58;Indéterminé;Oui;O;38-2023-07-05-00001
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Les Guillons;04/07/2023;27;Ovin;3;350;Loup typé;Oui;O;38-2016-11-25-014
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Le Chatel;15/07/2023;28;Ovin;5;1097;Loup non exclu;Oui;O;38-2023-07-05-00001
PELLAFOL;1;Obiou - Plateau d'Ambel;Vallon de l'Obiou;31/07/2023;31;Ovin;12;800;Loup typé;Oui;O;38-2016-07-25-002
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Rochassac;06/08/2023;31;Ovin;3;1085;Loup non exclu;Oui;O;38-2023-07-05-00001
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Bachilianne;06/08/2023;31;Ovin;1;1085;Loup typé;Oui;O;38-2023-07-05-00001
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Côte de l'Aiguille;30/08/2023;35;Ovin;2;1073;Loup typé;Oui;O;38-2023-07-05-00001
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Rochassac;25/09/2023;39;Ovin;2;2;Loup non exclu;Oui;O;38-2023-07-05-00001
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;Cordeac Les Pugnas;10/10/2023;41;Ovin;10;200;Loup typé;Oui;O;38-2016-11-25-014
CHATEL-EN-TRIEVES;1;Obiou - Plateau d'Ambel;;15/10/2023;41;Ovin;3;150;Loup typé;Oui;O;38-2016-11-25-014
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;08/01/2023;1;Ovin;2;182;Indéterminé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;03/02/2023;5;Ovin;2;174;Loup typé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;04/06/2023;22;Ovin;2;38;Loup non exclu;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Digues de la Romanche;04/06/2023;22;Ovin;1;313;Indéterminé;Non indemnisable;O;38-2022-02-09-00008
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;01/10/2023;39;Ovin;1;25;Loup typé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;11/10/2023;41;Ovin;1;239;Loup typé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;;21/10/2023;42;Ovin;2;;Loup typé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;;02/11/2023;44;Ovin;1;;Loup typé;Oui;O;38-2023-06-13-00007
LE BOURG-D'OISANS;1;Plaine de Bourg d'Oisans;Les Sables;16/11/2023;46;Ovin;3;;Loup typé;Oui;O;38-2023-06-13-00007
PORTE-DES-BONNEVAUX;2;Plateau de Bonnevaux;;11/02/2023;1;Ovin;1;6;Loup non exclu;Oui;O;38-2021-03-26-00001
BOSSIEU;1;Plateau de Bonnevaux;Les Rondes;11/04/2023;15;Ovin;1;25;Loup non exclu;Oui;;
PORTE-DES-BONNEVAUX;2;Plateau de Bonnevaux;;18/05/2023;20;Ovin;1;165;Indéterminé;Oui;O;38-2021-03-26-00001
PORTE-DES-BONNEVAUX;2;Plateau de Bonnevaux;;21/05/2023;20;Ovin;1;23;Indéterminé;Oui;O;38-2021-03-26-00001
CHATONNAY;1;Plateau de Bonnevaux;le Mollard;24/06/2023;25;Ovin;1;8;Charognard;Non - loup exclu;O;38-2022-07-22-00009
PORTE-DES-BONNEVAUX;2;Plateau de Bonnevaux;Le Brigand;09/08/2023;32;Veau;1;13;Loup typé;Oui;O;38-2021-11-26-00008
SAINT-JEAN-DE-BOURNAY;2;Plateau de Bonnevaux;Maisons Broizat;27/08/2023;34;Veau;1;3;Charognard;Non indemnisable;N;
LIEUDIEU;2;Plateau de Bonnevaux;La Rivoire;28/09/2023;39;Veau naissant;1;10;Loup non exclu;Oui;O;38-2023-10-09-00010
PORTE-DES-BONNEVAUX;2;Plateau de Bonnevaux;Arzay;16/10/2023;42;Ovin;1;93;Loup typé;Oui;O;38-2021-03-26-00001
CHATONNAY;1;Plateau de Bonnevaux;le Mollard;03/11/2023;44;Veau;1;;Loup typé;Oui;O;38-2021-11-26-00012
BOUVESSE-QUIRIEU;3;Plateau de l'Île Crémieu;Enieu;29/03/2023;13;Veau;1;9;Indéterminé;Oui;;
TREPT;3;Plateau de l'Île Crémieu;;17/11/2023;46;Ovin;1;;Indéterminé;Non indemnisable;;
SOUSVILLE;1;Plateau Matheysin;;18/02/2023;7;Autre;1;12;Indéterminé;Oui;N;
SOUSVILLE;1;Plateau Matheysin;La Faurie;05/04/2023;14;Equin;1;33;Indéterminé;Oui;N;
COGNET;1;Plateau Matheysin;Les Vigneaux;24/04/2023;17;Veau naissant;1;16;Indéterminé;Oui;N;
SOUSVILLE;1;Plateau Matheysin;La Faurie;11/06/2023;23;Veau;1;16;Indéterminé;Oui;O;38-2019-06-12-010
CHOLONGE;1;Plateau Matheysin;;09/07/2023;27;Ovin;1;1060;Indéterminé;Oui;O;38-2021-07-22-00004
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;09/07/2023;27;Ovin;1;60;Loup non exclu;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Clapelle;13/07/2023;28;Bovin;1;82;Indéterminé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;16/07/2023;28;Bovin;2;1114;Indéterminé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;16/07/2023;28;Ovin;2;1114;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;25/07/2023;30;Ovin;1;1025;Indéterminé;Oui;O;38-2023-08-03-00011
LAFFREY;1;Plateau Matheysin;Le Pay;21/08/2023;34;Bovin;1;17;Indéterminé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;Alpage de la Cuche;29/08/2023;35;Ovin;4;1108;Loup non exclu;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;Alpage de la Cuche;30/08/2023;35;Ovin;1;1;Indéterminé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;la Coirelle;07/09/2023;36;Veau naissant;1;5;Indéterminé;Non - loup exclu;;
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;16/09/2023;37;Ovin;1;1110;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;17/09/2023;37;Ovin;2;1110;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;18/09/2023;38;Ovin;1;1;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;21/09/2023;38;Ovin;1;1000;Loup typé;Oui;O;38-2023-08-03-00011
COGNET;1;Plateau Matheysin;Les Carrons;22/09/2023;38;Veau naissant;1;16;Indéterminé;Oui;;
CHOLONGE;1;Plateau Matheysin;la Coirelle;23/09/2023;38;Ovin;5;43;Loup typé;Oui;O;38-2021-07-22-00004
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;24/09/2023;38;Ovin;1;1032;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;25/09/2023;39;Ovin;1;1031;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;La Grande Cuche;29/09/2023;39;Ovin;3;1032;Loup non exclu;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;;04/10/2023;40;Ovin;1;1030;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;;11/10/2023;41;Ovin;3;;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;;16/10/2023;42;Ovin;3;;Loup typé;Oui;O;38-2023-08-03-00011
CHOLONGE;1;Plateau Matheysin;;16/10/2023;42;Bovin;1;;Indéterminé;Oui;N;/
CHOLONGE;1;Plateau Matheysin;;17/10/2023;42;Ovin;2;;Loup typé;Oui;O;38-2023-08-03-00011
SAINT-PIERRE-DE-CHERENNES;1;Royans;Fifi;05/05/2023;18;Ovin;4;4;Indéterminé;Oui;O;38-2020-07-22-004
SAINT-PIERRE-DE-CHERENNES;1;Royans;Les Guinards;03/07/2023;27;Ovin;17;19;Loup typé;Oui;O;38-2020-07-22-004
PRESLES;1;Royans;;25/11/2023;47;Ovin;1;;Loup typé;Oui;O;38-2020-07-22-004
SAINT-AREY;1;Senepy;Pellenfrey;05/04/2023;14;Ovin;4;48;Loup typé;Oui;N;
SAINT-AREY;1;Senepy;Pellenfrey;10/04/2023;15;Ovin;6;76;Loup non exclu;Oui;N;
MAYRES-SAVEL;1;Senepy;Senepi;08/07/2023;27;Bovin;1;150;Charognard;Non indemnisable;N;38-2019-05-14-014
LA MOTTE-D'AVEILLANS;1;Senepy;Senepi;01/09/2023;35;Bovin;1;823;Loup typé;Oui;N;38-2019-05-14-014
LA MOTTE-SAINT-MARTIN;1;Senepy;Le Vivier;01/09/2023;35;Veau naissant;1;14;Indéterminé;Non indemnisable;N;
LA MOTTE-SAINT-MARTIN;1;Senepy;Bavardière;03/09/2023;35;Veau naissant;1;12;Loup typé;Oui;N;38-2019-05-14-014
LA MOTTE-SAINT-MARTIN;1;Senepy;;20/09/2023;38;Veau naissant;1;10;Indéterminé;Non indemnisable;N;38-2019-05-14-014
NANTES-EN-RATIER;1;Tabor - Grand Serre;Maison Mutte;13/05/2023;19;Bovin;1;20;Indéterminé;Oui;N;
NANTES-EN-RATIER;1;Tabor - Grand Serre;Le Creux;22/05/2023;21;Ovin;1;532;Loup typé;Oui;O;38-2023-06-02-00010
NANTES-EN-RATIER;1;Tabor - Grand Serre;Col Malissol;24/05/2023;21;Ovin;1;321;Loup typé;Oui;O;"38-2022-05-12-00007; 38-2023-07-07-00002"
LAVALDENS;1;Tabor - Grand Serre;Les Bergeries;18/06/2023;24;Ovin;1;1167;Loup typé;Oui;N;38-2023-04-05-00009
SAINT-HONORÉ;1;Tabor - Grand Serre;Clos des Mouches;28/06/2023;26;Ovin;1;1106;Indéterminé;Oui;O;38-2023-07-10-00007
SAINT-HONORÉ;1;Tabor - Grand Serre;Clos des Mouches;04/07/2023;27;Ovin;1;1;Loup typé;Oui;O;38-2023-07-10-00007
VILLARD-SAINT-CHRISTOPHE;1;Tabor - Grand Serre;Le Bois Rond;08/07/2023;27;Bovin;1;90;Indéterminé;Non - loup exclu;N;
NANTES-EN-RATIER;1;Tabor - Grand Serre;Le Village;15/07/2023;28;Ovin;1;343;Loup typé;Oui;O;38-2023-06-02-00010
NANTES-EN-RATIER;1;Tabor - Grand Serre;Le Village;16/07/2023;28;Ovin;3;343;Loup non exclu;Oui;O;38-2023-06-02-00010
VILLARD-SAINT-CHRISTOPHE;1;Tabor - Grand Serre;Grand Serre;26/07/2023;30;Ovin;3;2059;Loup typé;Oui;O;38-2021-08-03-00009
LA MORTE;1;Tabor - Grand Serre;Le Crau;28/08/2023;35;Ovin;2;1088;Loup typé;Oui;O;38-2023-02-22-00006
VILLARD-SAINT-CHRISTOPHE;1;Tabor - Grand Serre;Grand Serre;28/08/2023;35;Ovin;6;2006;Loup non exclu;Oui;O;38-2021-08-03-00009
SIEVOZ;1;Tabor - Grand Serre;Les Combes;02/09/2023;35;Veau naissant;1;1;Indéterminé;Oui;O;38-2020-09-07-003
LAVALDENS;1;Tabor - Grand Serre;Plan Col;07/09/2023;36;Ovin;2;812;Loup typé;Oui;O;?
SIEVOZ;1;Tabor - Grand Serre;Le Haut Sievoz;11/09/2023;37;Ovin;3;48;Loup typé;Oui;O;38-2023-06-02-00010
NANTES-EN-RATIER;1;Tabor - Grand Serre;Serbouvet;28/09/2023;39;Veau naissant;1;28;Indéterminé;Oui;N;38-2020-01-20-00013
LA MORTE;1;Tabor - Grand Serre;Les Gloutons;30/09/2023;39;Ovin;1;1072;Loup non exclu;Oui;O;38-2021-08-03-00009
NANTES-EN-RATIER;1;Tabor - Grand Serre;Le Freynet;01/10/2023;39;Ovin;20;24;Loup typé;Oui;O;38-2023-06-02-00010
NANTES-EN-RATIER;1;Tabor - Grand Serre;;28/10/2023;43;Ovin;1;;Loup typé;Oui;O;38-2023-06-02-00010
NANTES-EN-RATIER;1;Tabor - Grand Serre;;02/11/2023;44;Canin;2;;Loup typé;Oui;O;?
NANTES-EN-RATIER;1;Tabor - Grand Serre;;25/11/2023;47;Canin;2;;Loup typé;Oui;O;?
OULLES;1;Taillefer;;12/06/2023;24;Bovin;1;16;Indéterminé;Non indemnisable;O;38-2019-06-19-003
VILLARD-REYMOND;1;Taillefer;Darreire;26/06/2023;26;Ovin;1;879;Loup typé;Oui;N;38-2020-09-14-009
OULLES;1;Taillefer;La Scéa;25/07/2023;30;Ovin;8;2013;Loup typé;Oui;O;38-2022-09-29-00006
OULLES;1;Taillefer;Grand Galbert;10/08/2023;32;Ovin;2;2014;Loup typé;Oui;O;38-2022-09-29-00006
ORNON;1;Taillefer;;15/10/2023;41;Ovin;1;;Loup typé;Oui;O;38-2023-01-30-00005
ORNON;1;Taillefer;;20/10/2023;42;Ovin;1;;Loup typé;Oui;O;38-2023-01-30-00005
SAINTE-ANNE-SUR-GERVONDE;2;Terres Froides Méridionales;Le Rovet;09/03/2023;10;Ovin;2;16;Indéterminé;Non - loup exclu;;
CORBELIN;3;Terres Froides Méridionales;;04/06/2023;22;Veau;1;4;Loup typé;Oui;N;
LES EPARRES;2;Terres Froides Méridionales;Chemin du Bois;05/06/2023;23;Bovin;2;11;Indéterminé;Oui;N;
LES EPARRES;2;Terres Froides Méridionales;;16/10/2023;42;Bovin;1;;Indéterminé;Non indemnisable;;
ECLOSES-BADINIERES;2;Terres Froides Méridionales;;16/10/2023;42;Bovin;1;12;Loup typé;Oui;O;38-2021-04-22-00002
NIVOLAS-VERMELLE;2;Terres Froides Occidentales;;06/06/2023;23;Ovin;2;12;Loup typé;Oui;N;
DOLOMIEU;3;Terres Froides Septentrionales;;16/07/2023;28;Bovin;2;11;Indéterminé;Oui;;
ROISSARD;1;Trièves Centre Nord;;30/05/2023;22;Ovin;7;510;Loup typé;Oui;O;38-2021-09-24-00001
ROISSARD;1;Trièves Centre Nord;Le Village;05/06/2023;23;Ovin;2;505;Loup typé;Oui;O;38-2021-09-24-00001
ROISSARD;1;Trièves Centre Nord;L'Homme;21/08/2023;34;Ovin;1;15;Loup typé;Oui;O;38-2021-09-24-00001
SAINT-MARTIN-DE-LA-CLUZE;1;Trièves Centre Nord;La Patassière;01/09/2023;35;Veau;1;47;Loup typé;Oui;O;38-2023-10-19-00006
ROISSARD;1;Trièves Centre Nord;L'Homme;14/09/2023;37;Ovin;1;12;Loup typé;Oui;O;38-2021-09-24-00001
ROISSARD;1;Trièves Centre Nord;Le Village;21/09/2023;38;Ovin;3;49;Loup typé;Oui;O;38-2021-09-24-00001
CORNILLON-EN-TRIÈVES;1;Trièves Centre Nord;La Croix Haute;10/11/2023;45;Veau;1;;Charognard;Non - loup exclu;N;/
ROISSARD;1;Trièves Centre Nord;La Grange Brulée;20/11/2023;47;Ovin;10;;Loup typé;Oui;O;38-2021-09-24-00001
PREBOIS;1;Trièves Sud;Saut du Loup;13/05/2023;19;Ovin;3;250;Loup typé;Oui;O;38-2023-04-25-00009
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;La Commanderie;19/07/2023;29;Ovin;1;90;Loup non exclu;Oui;N;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;Alpage de l'Archat;27/07/2023;30;Ovin;2;482;Loup typé;Oui;O;38-2022-03-21-00014
LALLEY;1;Trièves Sud;La Bergerie;29/07/2023;30;Ovin;1;831;Loup typé;Oui;O;38-2022-05-16-00007
LALLEY;1;Trièves Sud;Lalley Le Jocou;25/08/2023;34;Ovin;1;780;Loup non exclu;Oui;O;38-2022-05-16-00007
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;l'Archat;26/08/2023;34;Ovin;1;478;Loup typé;Oui;O;38-2022-03-21-00014
LALLEY;1;Trièves Sud;Lalley Le Jocou;29/08/2023;35;Ovin;1;730;Indéterminé;Oui;O;38-2022-05-16-00007
SAINT-BAUDILLE-ET-PIPET;1;Trièves Sud;Rochassac;05/09/2023;36;Ovin;1;1066;Loup typé;Oui;O;38-2023-07-05-00001
LALLEY;1;Trièves Sud;Alpage du Jocou;06/09/2023;36;Ovin;2;653;Loup typé;Oui;O;38-2022-05-16-00007
TREMINIS;1;Trièves Sud;Les Gravelles;11/09/2023;37;Caprin;1;16;Loup typé;Oui;N;
SAINT-BAUDILLE-ET-PIPET;1;Trièves Sud;Rochassac;13/09/2023;37;Ovin;1;1;Loup typé;Oui;O;38-2023-07-05-00001
MENS;1;Trièves Sud;;21/10/2023;42;Ovin;1;46;Loup typé;Oui;N;
SAINT-MAURICE-EN-TRIÈVES;1;Trièves Sud;;01/11/2023;44;Ovin;3;;Indéterminé;Oui;N;
PREBOIS;1;Trièves Sud;;27/11/2023;48;Ovin;1;;Loup typé;Oui;O;38-2023-04-25-00009
PREBOIS;1;Trièves Sud;;30/11/2023;48;Ovin;1;;Loup typé;Oui;O;38-2023-04-25-00009
CLELLES;1;Trièves Sud Ouest;Montmartre;02/01/2023;1;Ovin;3;66;Indéterminé;Non indemnisable;O;38-2021-04-08-00007
CHICHILIANNE;1;Trièves Sud Ouest;les Cornas;05/06/2023;23;Ovin;12;232;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;Bramefan;01/07/2023;26;Ovin;2;222;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;Champ du Fau;09/07/2023;27;Ovin;5;220;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;les Oches;20/07/2023;29;Ovin;1;215;Loup non exclu;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;Pré Garet;05/08/2023;31;Ovin;1;214;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;Pré Garet;18/08/2023;33;Ovin;2;212;Loup non exclu;Oui;O;38-2021-04-19-00002
CLELLES;1;Trièves Sud Ouest;Le Muset;28/08/2023;35;Ovin;8;335;Indéterminé;Non indemnisable;O;38-2021-04-08-00007
CHICHILIANNE;1;Trièves Sud Ouest;Sagne Longue;15/09/2023;37;Ovin;1;122;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;;20/09/2023;38;Ovin;1;330;Indéterminé;Oui;N;
CHICHILIANNE;1;Trièves Sud Ouest;Charbonnier;23/09/2023;38;Ovin;2;554;Loup non exclu;Oui;O;38-2022-08-02-00004
CHICHILIANNE;1;Trièves Sud Ouest;les Oches;30/09/2023;39;Ovin;1;60;Loup typé;Oui;O;38-2021-04-19-00002
CHICHILIANNE;1;Trièves Sud Ouest;Les Magnas;09/10/2023;41;Ovin;1;179;Loup typé;Oui;N;
SAINT-MICHEL-LES-PORTES;1;Trièves Sud Ouest;Chenicourt;12/10/2023;41;Veau;1;;Indéterminé;Non indemnisable;;
LE MONESTIER-DU-PERCY;1;Trièves Sud Ouest;Loubet;12/10/2023;41;Ovin;1;48;Loup typé;Oui;N;
LE MONESTIER-DU-PERCY;1;Trièves Sud Ouest;Loubet;25/10/2023;43;Ovin;1;48;Indéterminé;Oui;N;
VALBONNAIS;1;Valbonnais;;14/05/2023;19;Canin;2;175;Loup typé;Oui;O;38-2022-01-25-00004
ENTRAIGUES;1;Valbonnais;la Vacherie;12/06/2023;24;Bovin;1;61;Indéterminé;Non indemnisable;N;/
ENTRAIGUES;1;Valbonnais;la Vacherie;08/08/2023;32;Bovin;1;32;Indéterminé;Oui;N;
